index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
709,FullyConnected,128,1,1,1,1,1,128,1,1,16384
710,Reshape,128,1,1,1,1,1,32,384,4,0
711,Transpose,32,384,4,1,1,1,32,4,384,0
712,FullyConnected,128,1,1,1,1,1,128,1,1,16384
713,Reshape,128,1,1,1,1,1,32,384,4,0
714,Transpose,32,384,4,1,1,1,32,4,384,0
715,Transpose,32,4,384,1,1,1,384,4,32,0
716,Reshape,32,4,384,1,1,1,32,4,384,0
717,OP_49,1,1,1,1,1,1,32,1,384,0
718,Reshape,384,4,32,1,1,1,384,4,32,0
719,OP_49,1,1,1,1,1,1,384,1,32,0
720,Reshape,384,1,32,1,1,1,384,1,1,0
721,Reshape,384,1,32,1,1,1,384,1,1,0
722,Reshape,384,1,32,1,1,1,384,1,1,0
723,Reshape,384,1,32,1,1,1,384,1,1,0
724,Transpose,384,1,1,1,1,1,32,1,1,0
725,FullyConnected,32,1,384,1,1,1,384,1,1,12288
726,Transpose,384,1,1,1,1,1,32,1,1,0
727,FullyConnected,32,1,384,1,1,1,384,1,1,12288
728,Transpose,384,1,1,1,1,1,32,1,1,0
729,FullyConnected,32,1,384,1,1,1,384,1,1,12288
730,Transpose,384,1,1,1,1,1,32,1,1,0
731,FullyConnected,32,1,384,1,1,1,384,1,1,12288
732,OP_83,384,1,1,1,1,1,384,4,384,0
733,Mul,384,4,384,1,1,1,384,4,384,0
734,Reshape,384,4,384,1,1,1,384,4,384,0
735,Mul,384,4,384,1,1,1,384,4,384,0
736,Add,384,4,384,1,1,1,384,4,384,0
737,Softmax,384,4,384,1,1,1,384,4,384,0
738,Reshape,384,4,384,1,1,1,384,4,384,0
739,OP_49,1,1,1,1,1,1,384,1,384,0
740,Reshape,32,4,384,1,1,1,32,4,384,0
741,OP_49,1,1,1,1,1,1,32,1,384,0
742,Reshape,32,1,384,1,1,1,32,1,1,0
743,Reshape,32,1,384,1,1,1,32,1,1,0
744,Reshape,32,1,384,1,1,1,32,1,1,0
745,Reshape,32,1,384,1,1,1,32,1,1,0
746,Transpose,32,1,1,1,1,1,384,1,1,0
747,FullyConnected,384,1,384,1,1,1,32,1,1,12288
