index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1054,Tanh,256,1,1,1,1,1,256,1,1,0
1055,Mul,256,1,1,1,1,1,256,1,1,0
1056,Mul,256,1,1,1,1,1,256,1,1,0
1057,Add,256,1,1,1,1,1,256,1,1,0
1058,Tanh,256,1,1,1,1,1,256,1,1,0
1059,Mul,256,1,1,1,1,1,256,1,1,0
1060,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1061,Add,1024,1,1,1,1,1,1024,1,1,0
1062,Add,1024,1,1,1,1,1,1024,1,1,0
1063,OP_49,1,1,1,1,1,1,256,1,1,0
1064,Sigmoid,256,1,1,1,1,1,256,1,1,0
1065,Sigmoid,256,1,1,1,1,1,256,1,1,0
1066,Sigmoid,256,1,1,1,1,1,256,1,1,0
1067,Tanh,256,1,1,1,1,1,256,1,1,0
1068,Mul,256,1,1,1,1,1,256,1,1,0
1069,Mul,256,1,1,1,1,1,256,1,1,0
1070,Add,256,1,1,1,1,1,256,1,1,0
1071,Tanh,256,1,1,1,1,1,256,1,1,0
1072,Mul,256,1,1,1,1,1,256,1,1,0
1073,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1074,Add,1024,1,1,1,1,1,1024,1,1,0
1075,Add,1024,1,1,1,1,1,1024,1,1,0
1076,OP_49,1,1,1,1,1,1,256,1,1,0
1077,Sigmoid,256,1,1,1,1,1,256,1,1,0
1078,Sigmoid,256,1,1,1,1,1,256,1,1,0
1079,Sigmoid,256,1,1,1,1,1,256,1,1,0
1080,Tanh,256,1,1,1,1,1,256,1,1,0
1081,Mul,256,1,1,1,1,1,256,1,1,0
1082,Mul,256,1,1,1,1,1,256,1,1,0
1083,Add,256,1,1,1,1,1,256,1,1,0
1084,Tanh,256,1,1,1,1,1,256,1,1,0
1085,Mul,256,1,1,1,1,1,256,1,1,0
1086,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1087,Add,1024,1,1,1,1,1,1024,1,1,0
1088,Add,1024,1,1,1,1,1,1024,1,1,0
1089,OP_49,1,1,1,1,1,1,256,1,1,0
1090,Sigmoid,256,1,1,1,1,1,256,1,1,0
1091,Sigmoid,256,1,1,1,1,1,256,1,1,0
1092,Sigmoid,256,1,1,1,1,1,256,1,1,0
1093,Tanh,256,1,1,1,1,1,256,1,1,0
1094,Mul,256,1,1,1,1,1,256,1,1,0
1095,Mul,256,1,1,1,1,1,256,1,1,0
1096,Add,256,1,1,1,1,1,256,1,1,0
1097,Tanh,256,1,1,1,1,1,256,1,1,0
1098,Mul,256,1,1,1,1,1,256,1,1,0
1099,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1100,Add,1024,1,1,1,1,1,1024,1,1,0
1101,Add,1024,1,1,1,1,1,1024,1,1,0
1102,OP_49,1,1,1,1,1,1,256,1,1,0
1103,Sigmoid,256,1,1,1,1,1,256,1,1,0
1104,Sigmoid,256,1,1,1,1,1,256,1,1,0
1105,Sigmoid,256,1,1,1,1,1,256,1,1,0
1106,Tanh,256,1,1,1,1,1,256,1,1,0
1107,Mul,256,1,1,1,1,1,256,1,1,0
1108,Mul,256,1,1,1,1,1,256,1,1,0
1109,Add,256,1,1,1,1,1,256,1,1,0
1110,Tanh,256,1,1,1,1,1,256,1,1,0
1111,Mul,256,1,1,1,1,1,256,1,1,0
1112,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1113,Add,1024,1,1,1,1,1,1024,1,1,0
1114,Add,1024,1,1,1,1,1,1024,1,1,0
1115,OP_49,1,1,1,1,1,1,256,1,1,0
1116,Sigmoid,256,1,1,1,1,1,256,1,1,0
1117,Sigmoid,256,1,1,1,1,1,256,1,1,0
1118,Sigmoid,256,1,1,1,1,1,256,1,1,0
1119,Tanh,256,1,1,1,1,1,256,1,1,0
1120,Mul,256,1,1,1,1,1,256,1,1,0
1121,Mul,256,1,1,1,1,1,256,1,1,0
1122,Add,256,1,1,1,1,1,256,1,1,0
1123,Tanh,256,1,1,1,1,1,256,1,1,0
1124,Mul,256,1,1,1,1,1,256,1,1,0
1125,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1126,Add,1024,1,1,1,1,1,1024,1,1,0
1127,Add,1024,1,1,1,1,1,1024,1,1,0
1128,OP_49,1,1,1,1,1,1,256,1,1,0
1129,Sigmoid,256,1,1,1,1,1,256,1,1,0
1130,Sigmoid,256,1,1,1,1,1,256,1,1,0
1131,Sigmoid,256,1,1,1,1,1,256,1,1,0
1132,Tanh,256,1,1,1,1,1,256,1,1,0
1133,Mul,256,1,1,1,1,1,256,1,1,0
1134,Mul,256,1,1,1,1,1,256,1,1,0
1135,Add,256,1,1,1,1,1,256,1,1,0
1136,Tanh,256,1,1,1,1,1,256,1,1,0
1137,Mul,256,1,1,1,1,1,256,1,1,0
1138,OP_83,256,1,1,1,1,1,256,25,1,0
1139,OP_105,256,25,1,1,1,1,256,25,1,0
1140,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
1141,OP_49,1,1,1,1,1,1,256,1,1,0
1142,Sigmoid,256,1,1,1,1,1,256,1,1,0
1143,Sigmoid,256,1,1,1,1,1,256,1,1,0
1144,Mul,256,1,1,1,1,1,256,1,1,0
1145,Sigmoid,256,1,1,1,1,1,256,1,1,0
1146,Tanh,256,1,1,1,1,1,256,1,1,0
1147,Mul,256,1,1,1,1,1,256,1,1,0
1148,Add,256,1,1,1,1,1,256,1,1,0
1149,Tanh,256,1,1,1,1,1,256,1,1,0
1150,Mul,256,1,1,1,1,1,256,1,1,0
1151,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1152,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
1153,Add,1024,1,1,1,1,1,1024,1,1,0
1154,Add,1024,1,1,1,1,1,1024,1,1,0
1155,OP_49,1,1,1,1,1,1,256,1,1,0
1156,Sigmoid,256,1,1,1,1,1,256,1,1,0
1157,Sigmoid,256,1,1,1,1,1,256,1,1,0
1158,Mul,256,1,1,1,1,1,256,1,1,0
1159,Sigmoid,256,1,1,1,1,1,256,1,1,0
